Width,Height,Icing Thickness,Flavour,Wedding,Fancy,Price
10,8,10,vanilla,No,Somewhat,37.05
9,7,12,chocolate,No,Somewhat,12.43
6,4,7,vanilla,No,Very,5.29
10,8,10,chocolate,No,Very,19.06
6,6,10,chocolate,No,No,8.48
8,8,11,chocolate,No,Somewhat,14.22
8,7,6,marzipan,No,Very,18.16
4,4,8,vanilla,No,Very,3.83
7,8,7,lemon,No,Somewhat,37.35
7,10,12,vanilla,Yes,Somewhat,10.84
9,12,10,chocolate,Yes,No,9.14
11,6,9,lemon,No,Somewhat,46.18
5,5,5,chocolate,No,No,9.91
10,10,5,vanilla,No,No,28.71
10,8,12,chocolate,No,No,14.34
9,14,9,chocolate,Yes,No,16.97
14,7,7,vanilla,No,Somewhat,55.12
4,5,11,vanilla,No,No,2.74
11,5,9,raspberry,No,Somewhat,23.09
11,8,5,lemon,No,Somewhat,73.18
10,8,7,strawberry,No,No,29.12
7,10,10,vanilla,Yes,Very,21.1
7,4,5,vanilla,No,Somewhat,9.55
12,6,7,chocolate,No,Somewhat,62.21
7,5,6,chocolate,No,Somewhat,19.4
11,7,5,chocolate,No,Somewhat,55.02
13,8,10,strawberry,No,No,32.76
10,6,10,strawberry,No,No,23.44
4,5,8,vanilla,No,No,2.88
10,7,6,lemon,No,Somewhat,57.96
7,8,11,chocolate,No,Somewhat,17.95
6,4,6,vanilla,No,No,7.83
11,10,6,chocolate,No,Somewhat,115.68
5,9,9,chocolate,Yes,Somewhat,5.73
8,8,9,chocolate,No,Somewhat,29.74
12,10,11,vanilla,No,No,39.49
10,8,9,vanilla,No,No,30.68
12,8,5,lemon,No,Somewhat,82.15
11,7,10,vanilla,No,Somewhat,25.29
8,9,9,chocolate,No,Somewhat,20.3
7,6,4,chocolate,No,Somewhat,16.58
8,5,7,marzipan,No,Somewhat,13.28
6,6,6,vanilla,No,Very,13.79
4,5,8,chocolate,No,Somewhat,4.08
6,4,11,chocolate,No,Somewhat,4.05
12,6,6,chocolate,No,Somewhat,72.16
5,6,11,chocolate,No,No,3.77
9,5,6,vanilla,No,No,30.88
13,9,10,chocolate,No,Somewhat,41.2
10,5,6,vanilla,No,Somewhat,42.86
12,9,9,vanilla,No,No,49.86
12,11,12,strawberry,Yes,Very,52.54
12,8,7,vanilla,No,No,37.26
7,10,8,coffee,No,No,28.17
10,6,5,vanilla,No,Somewhat,21.82
8,7,7,vanilla,No,Somewhat,19.74
11,9,8,chocolate,No,No,51.55
12,7,9,marzipan,No,No,28.17
8,5,9,marzipan,No,No,8.93
7,5,8,vanilla,No,No,8.0
11,7,10,chocolate,No,No,24.68
7,6,8,chocolate,No,Somewhat,18.88
8,5,6,lemon,No,No,22.97
7,5,7,chocolate,No,No,13.89
13,9,5,chocolate,No,No,59.72
9,8,6,chocolate,No,Somewhat,38.28
12,7,6,vanilla,No,No,44.6
5,4,7,vanilla,No,Somewhat,4.47
13,8,4,vanilla,No,Somewhat,96.17
7,5,5,chocolate,No,Somewhat,22.38
11,9,4,lemon,No,No,34.69
11,8,9,chocolate,No,Somewhat,45.46
11,8,8,vanilla,No,Somewhat,31.14
10,7,6,vanilla,No,Somewhat,41.7
10,4,7,vanilla,No,Somewhat,25.58
8,6,10,strawberry,No,Very,17.46
11,9,9,chocolate,No,Somewhat,58.32
9,11,10,lemon,Yes,No,8.14
6,7,11,strawberry,No,Somewhat,9.24
10,5,10,chocolate,No,Somewhat,19.36
8,5,8,vanilla,No,Somewhat,14.26
11,8,4,vanilla,No,No,34.43
7,7,6,chocolate,No,No,22.11
6,6,8,vanilla,No,Somewhat,10.03
10,7,10,chocolate,No,Somewhat,34.08
9,7,10,strawberry,No,Somewhat,27.02
5,5,6,chocolate,No,Somewhat,9.86
9,4,9,chocolate,No,Somewhat,13.61
7,11,6,strawberry,Yes,No,10.68
14,9,6,chocolate,No,Somewhat,147.42
8,6,7,vanilla,No,Somewhat,30.41
8,6,9,vanilla,No,No,17.93
5,7,9,vanilla,No,Somewhat,6.12
4,6,6,chocolate,No,Somewhat,8.06
9,9,11,chocolate,Yes,Somewhat,13.07
10,5,10,chocolate,No,Somewhat,21.13
7,4,7,chocolate,No,Somewhat,17.02
11,7,9,lemon,No,Somewhat,35.57
7,8,11,vanilla,No,No,13.3
13,9,8,vanilla,No,Somewhat,76.71
4,7,6,chocolate,No,Somewhat,6.78
6,8,8,lemon,No,Somewhat,18.3
13,7,9,chocolate,No,No,35.94
6,8,7,vanilla,No,No,11.79
12,10,9,vanilla,No,No,40.21
7,6,4,marzipan,No,No,10.24
11,7,11,vanilla,No,Somewhat,22.65
10,8,10,chocolate,No,No,26.02
10,5,9,chocolate,No,Somewhat,24.35
5,9,12,chocolate,Yes,No,2.34
14,9,7,strawberry,No,No,100.13
10,6,7,vanilla,No,Somewhat,28.43
7,10,8,chocolate,No,Somewhat,30.8
13,9,6,chocolate,No,Very,73.06
12,12,7,chocolate,Yes,Very,103.05
13,9,7,vanilla,No,Somewhat,109.73
8,6,6,chocolate,No,No,18.48
9,10,4,chocolate,No,No,25.98
8,9,11,vanilla,No,Very,12.96
13,7,5,chocolate,No,Somewhat,93.14
10,10,6,vanilla,No,No,60.42
11,8,6,chocolate,No,No,35.53
8,9,7,vanilla,No,Very,25.14
9,7,8,lemon,No,Somewhat,29.78
8,12,7,chocolate,Yes,No,27.81
6,4,7,vanilla,No,Somewhat,9.98
13,8,8,vanilla,No,Somewhat,65.18
12,12,6,chocolate,Yes,Somewhat,102.6
9,7,10,strawberry,No,No,24.23
8,5,10,vanilla,No,No,11.45
11,5,9,chocolate,No,Somewhat,29.6
14,10,7,lemon,No,No,87.93
12,12,7,chocolate,Yes,Somewhat,102.55
11,7,8,lemon,No,Somewhat,61.52
10,7,8,chocolate,No,Somewhat,30.59
7,7,9,lemon,No,No,17.57
5,9,8,chocolate,Yes,No,5.76
8,6,7,vanilla,No,Somewhat,22.69
12,8,9,strawberry,No,Somewhat,44.47
11,6,6,lemon,No,No,55.75
10,9,5,lemon,No,Somewhat,62.51
5,5,9,chocolate,No,No,4.16
12,7,5,chocolate,No,No,41.11
12,6,7,chocolate,No,Somewhat,41.84
11,9,7,vanilla,No,Very,65.28
8,6,11,strawberry,No,Somewhat,16.63
6,8,8,vanilla,No,Very,12.76
7,8,11,vanilla,No,No,10.75
5,6,9,marzipan,No,Somewhat,4.82
12,7,7,chocolate,No,Somewhat,54.16
11,5,7,vanilla,No,Somewhat,27.36
14,7,10,lemon,No,No,40.74
12,14,10,vanilla,Yes,Somewhat,61.82
13,8,10,chocolate,No,Somewhat,58.49
11,5,8,lemon,No,No,41.19
8,4,11,strawberry,No,No,8.51
7,6,11,strawberry,No,Somewhat,6.98
12,11,10,lemon,Yes,Somewhat,60.05
9,7,9,vanilla,No,Somewhat,18.92
11,9,11,vanilla,No,Somewhat,47.61
10,8,8,chocolate,No,Somewhat,46.2
12,7,6,chocolate,No,Somewhat,54.72
9,9,12,vanilla,No,Somewhat,22.48
12,5,9,vanilla,No,No,16.24
11,7,10,lemon,No,Very,35.78
12,9,4,marzipan,No,Somewhat,46.55
11,10,6,chocolate,No,Somewhat,84.56
9,6,9,lemon,No,Very,16.09
4,6,6,lemon,No,Very,7.47
6,5,10,chocolate,No,Somewhat,7.82
13,7,10,chocolate,No,Somewhat,31.83
11,6,6,vanilla,No,Very,40.54
13,7,9,chocolate,No,Very,59.32
6,5,4,vanilla,No,Somewhat,10.47
12,8,5,chocolate,No,Somewhat,79.83
13,10,8,chocolate,No,Very,113.97
13,9,6,marzipan,No,No,117.35
8,9,7,vanilla,Yes,Very,24.46
8,7,8,coffee,No,No,23.61
6,8,12,chocolate,No,No,5.44
8,9,4,chocolate,No,Somewhat,32.31
12,8,10,lemon,No,Somewhat,49.29
11,6,11,chocolate,No,Somewhat,29.64
6,13,12,marzipan,Yes,Somewhat,10.69
5,8,12,chocolate,Yes,Very,4.59
6,8,11,lemon,Yes,Somewhat,7.75
5,4,5,lemon,No,No,6.47
6,9,10,chocolate,No,No,10.59
10,9,6,lemon,No,No,48.68
10,13,8,vanilla,Yes,Somewhat,59.16
11,7,10,vanilla,No,Somewhat,20.62
11,8,6,strawberry,No,Somewhat,78.08
7,10,9,chocolate,No,Somewhat,24.09
7,7,5,chocolate,No,Somewhat,18.9
10,7,10,marzipan,No,Somewhat,30.24
7,5,9,vanilla,No,No,7.56
5,6,9,lemon,No,Very,5.2
9,7,11,vanilla,No,Somewhat,17.86
9,8,6,strawberry,No,Very,25.48
11,4,7,chocolate,No,Somewhat,30.59
10,5,12,strawberry,No,Somewhat,12.63
9,5,9,vanilla,No,No,21.34
10,7,10,vanilla,No,No,23.17
9,7,4,vanilla,No,No,25.85
10,6,7,chocolate,No,Somewhat,33.37
9,7,9,chocolate,No,Somewhat,34.87
4,6,11,chocolate,No,No,2.61
7,8,10,vanilla,No,No,11.17
9,8,12,chocolate,No,No,16.15
4,8,10,vanilla,Yes,Somewhat,4.04
8,6,9,marzipan,No,No,13.17
8,8,5,vanilla,No,Somewhat,29.78
6,8,7,chocolate,No,No,16.39
12,9,6,vanilla,No,Somewhat,71.0
12,9,8,chocolate,No,Very,56.2
10,7,9,vanilla,No,Somewhat,23.28
7,12,4,lemon,Yes,Very,42.66
9,9,9,chocolate,No,No,28.07
8,6,8,chocolate,No,No,10.89
12,6,10,chocolate,No,Somewhat,27.64
7,8,8,chocolate,No,Somewhat,23.22
11,8,9,lemon,No,No,48.13
11,10,9,chocolate,No,Very,64.63
5,8,5,vanilla,No,Somewhat,12.33
10,5,8,vanilla,No,Somewhat,16.22
14,10,7,chocolate,No,Somewhat,87.57
6,7,7,chocolate,No,Somewhat,13.61
8,11,8,chocolate,Yes,Somewhat,36.43
6,5,4,vanilla,No,No,5.38
10,8,11,chocolate,No,Somewhat,26.5
7,9,4,vanilla,No,Very,15.38
7,8,7,vanilla,No,No,19.25
12,10,9,chocolate,No,Somewhat,72.07
12,8,6,vanilla,No,No,36.9
9,5,8,chocolate,No,Somewhat,17.91
9,12,10,lemon,Yes,Somewhat,27.82
10,5,7,vanilla,No,No,34.72
5,6,4,chocolate,No,No,4.23
6,6,7,chocolate,No,Very,6.87
7,8,6,lemon,No,Very,22.86
8,8,5,chocolate,No,Somewhat,32.13
11,5,11,chocolate,No,No,18.36
11,9,6,chocolate,No,Somewhat,54.7
12,7,7,vanilla,No,No,32.53
10,12,9,chocolate,Yes,Somewhat,49.28
6,4,7,chocolate,No,No,7.02
11,7,6,chocolate,No,No,46.7
10,8,6,vanilla,No,Somewhat,60.98
7,8,7,chocolate,No,Somewhat,19.3
10,4,10,chocolate,No,Somewhat,18.85
9,6,9,chocolate,No,Somewhat,18.56
10,8,7,vanilla,No,Somewhat,64.23
6,7,5,chocolate,No,Somewhat,11.25
11,8,4,lemon,No,Somewhat,81.29
8,7,11,strawberry,No,Somewhat,13.65
9,8,12,strawberry,No,Somewhat,14.43
9,5,7,marzipan,No,Somewhat,23.13
4,9,6,vanilla,Yes,No,1.36
10,9,9,strawberry,No,No,34.57
7,9,8,vanilla,No,No,11.49
6,8,9,chocolate,No,Somewhat,12.1
9,7,5,lemon,No,No,28.26
8,6,8,vanilla,No,Somewhat,21.11
5,7,9,marzipan,No,No,4.93
14,13,12,chocolate,Yes,Very,93.19
6,7,11,lemon,No,Somewhat,5.92
7,8,12,chocolate,No,Somewhat,9.26
5,4,7,strawberry,No,Very,5.33
9,6,9,chocolate,No,Somewhat,24.09
5,9,6,strawberry,Yes,Somewhat,12.38
5,6,7,vanilla,No,Somewhat,7.11
11,7,11,vanilla,No,Somewhat,19.17
6,8,9,lemon,No,Somewhat,17.45
10,7,8,chocolate,No,No,33.79
5,6,12,lemon,No,Very,4.2
6,8,9,chocolate,No,Somewhat,16.46
10,6,5,chocolate,No,Somewhat,38.18
10,4,7,chocolate,No,Somewhat,17.6
11,8,7,strawberry,No,Somewhat,67.29
10,6,10,chocolate,No,No,20.23
10,8,8,vanilla,No,No,32.2
5,5,5,vanilla,No,No,6.52
9,8,8,lemon,No,Very,33.96
12,7,10,vanilla,No,Somewhat,46.43
7,13,6,lemon,Yes,Somewhat,45.03
8,9,9,chocolate,No,Somewhat,32.03
8,8,10,lemon,No,No,20.51
6,8,7,vanilla,No,Somewhat,17.83
12,10,7,marzipan,No,Somewhat,64.98
7,6,7,chocolate,No,Very,14.73
10,10,7,vanilla,No,Somewhat,42.9
7,14,7,vanilla,Yes,Very,49.3
10,13,10,lemon,Yes,Somewhat,57.1
9,6,7,strawberry,No,No,15.65
7,9,12,vanilla,No,No,10.18
7,9,11,vanilla,Yes,Somewhat,7.17
5,7,9,chocolate,No,No,8.23
9,10,12,vanilla,No,Somewhat,17.89
9,5,8,vanilla,No,No,20.36
7,8,9,chocolate,No,No,19.56
9,9,9,chocolate,No,Somewhat,36.74
5,6,8,strawberry,No,Somewhat,6.64
11,8,9,coffee,No,No,32.49
7,6,5,chocolate,No,No,13.32
11,7,6,vanilla,No,Somewhat,45.95
10,7,7,chocolate,No,No,45.75
7,9,9,chocolate,No,Somewhat,17.01
8,11,7,chocolate,Yes,Very,40.14
8,5,12,vanilla,No,Somewhat,7.58
11,6,8,lemon,No,No,44.04
11,7,6,chocolate,No,No,51.06
7,10,9,vanilla,No,Somewhat,24.8
13,7,11,chocolate,No,No,39.1
4,7,8,marzipan,No,No,4.47
12,8,7,strawberry,No,No,45.7
7,7,8,chocolate,No,Somewhat,15.42
10,8,12,chocolate,No,No,14.27
7,10,8,strawberry,No,No,30.06
11,7,8,vanilla,No,Somewhat,47.94
9,7,12,chocolate,No,Somewhat,16.47
11,6,10,vanilla,No,Very,25.85
6,5,9,vanilla,No,No,7.58
9,8,11,vanilla,No,Somewhat,14.56
5,6,8,vanilla,No,Somewhat,5.92
11,6,8,chocolate,No,Somewhat,31.28
10,10,10,chocolate,No,No,42.94
10,11,6,vanilla,Yes,No,22.21
11,9,11,chocolate,No,Somewhat,46.03
5,7,9,strawberry,No,Somewhat,7.81
11,6,5,chocolate,No,No,51.21
10,7,10,strawberry,No,Somewhat,33.07
6,6,7,strawberry,No,Somewhat,12.27
4,4,12,vanilla,No,No,1.46
14,10,8,vanilla,No,No,62.14
12,10,9,chocolate,Yes,No,13.32
10,9,6,chocolate,Yes,No,18.07
5,7,9,chocolate,No,Somewhat,6.78
10,6,5,chocolate,No,No,23.56
5,7,11,lemon,No,Very,3.46
11,6,11,chocolate,No,Somewhat,19.64
12,10,6,vanilla,No,Somewhat,103.82
8,7,7,vanilla,No,Somewhat,26.38
7,7,11,vanilla,No,Somewhat,13.72
6,4,11,vanilla,No,Somewhat,5.44
14,8,10,chocolate,No,Somewhat,68.52
8,10,6,vanilla,No,Somewhat,25.84
12,7,10,vanilla,No,No,33.03
9,8,8,lemon,No,Somewhat,34.37
11,9,8,vanilla,No,No,61.1
7,7,10,vanilla,No,No,8.3
8,8,7,chocolate,No,No,21.51
10,6,8,vanilla,No,No,15.16
4,5,7,lemon,No,Somewhat,7.62
5,6,10,vanilla,No,Somewhat,4.18
8,10,11,chocolate,Yes,Somewhat,12.77
6,5,9,chocolate,No,Somewhat,9.22
8,12,9,chocolate,Yes,Very,39.39
7,5,7,chocolate,No,No,7.81
11,14,10,chocolate,Yes,Somewhat,64.69
10,7,7,chocolate,No,Somewhat,50.54
12,7,9,lemon,No,Somewhat,42.29
5,6,6,strawberry,No,Somewhat,12.09
8,7,10,lemon,No,Somewhat,23.81
7,5,9,vanilla,No,No,7.67
10,8,9,lemon,Yes,No,9.22
7,4,11,strawberry,No,No,4.18
8,11,7,chocolate,Yes,Somewhat,33.9
7,6,11,strawberry,No,No,8.06
10,8,6,chocolate,No,Somewhat,48.6
6,7,8,vanilla,No,No,8.13
12,11,6,strawberry,Yes,Somewhat,79.2
8,7,8,chocolate,No,No,21.82
9,9,5,lemon,Yes,Somewhat,25.52
11,5,5,vanilla,No,No,30.54
8,7,8,lemon,No,Somewhat,25.31
5,5,6,lemon,No,No,5.68
11,8,11,chocolate,No,Somewhat,26.38
6,5,5,vanilla,No,No,8.24
12,7,8,strawberry,No,No,35.24
7,5,9,vanilla,No,No,7.64
8,5,8,lemon,No,Somewhat,13.32
8,7,11,vanilla,No,No,8.84
6,6,9,marzipan,No,Somewhat,7.24
12,10,7,chocolate,No,Somewhat,93.31
7,9,8,chocolate,No,No,14.24
4,4,11,chocolate,No,No,1.32
8,5,10,vanilla,No,Very,10.92
5,7,9,chocolate,No,Somewhat,5.1
11,8,6,marzipan,No,Somewhat,69.48
11,6,7,vanilla,No,Somewhat,25.81
12,9,9,chocolate,No,No,49.33
10,5,10,strawberry,No,No,18.0
14,9,10,chocolate,No,Very,58.61
10,4,9,lemon,No,Somewhat,19.6
12,8,9,chocolate,No,No,38.64
12,6,8,strawberry,No,No,27.81
7,4,8,chocolate,No,Somewhat,12.54
8,7,7,vanilla,No,Somewhat,31.97
11,13,7,chocolate,Yes,No,43.78
10,5,9,chocolate,No,No,18.67
10,5,9,vanilla,No,Somewhat,19.9
9,8,9,chocolate,No,Somewhat,24.83
13,9,9,vanilla,No,Somewhat,67.21
8,4,6,chocolate,No,No,11.57
9,7,8,vanilla,No,No,18.05
8,6,6,chocolate,No,Somewhat,25.15
7,8,5,vanilla,No,Somewhat,13.9
12,12,10,lemon,Yes,Very,61.88
13,10,8,vanilla,No,Very,74.36
5,7,7,chocolate,No,Somewhat,14.44
5,6,6,chocolate,No,No,8.03
11,10,6,lemon,No,Somewhat,72.12
7,6,5,vanilla,No,No,10.98
12,7,11,vanilla,No,No,33.03
10,10,5,lemon,No,Very,63.5
8,6,7,lemon,No,Somewhat,20.84
9,4,11,vanilla,No,Somewhat,6.34
5,5,4,chocolate,No,Somewhat,8.56
12,10,7,chocolate,No,Somewhat,70.78
12,6,6,chocolate,No,No,54.24
6,6,11,vanilla,No,Somewhat,4.68
11,5,9,strawberry,No,No,23.83
6,6,7,lemon,No,Somewhat,19.27
11,10,6,vanilla,Yes,Somewhat,35.18
7,8,6,vanilla,Yes,Somewhat,12.54
12,8,7,lemon,No,Somewhat,74.71
12,7,10,vanilla,No,Somewhat,28.86
13,7,7,chocolate,No,No,57.67
13,7,10,lemon,No,Somewhat,51.45
7,8,12,vanilla,No,Somewhat,10.35
4,4,6,chocolate,No,Somewhat,3.06
10,5,5,lemon,No,No,32.46
6,7,8,vanilla,No,No,9.25
5,7,7,chocolate,No,Somewhat,8.46
8,9,7,chocolate,Yes,No,12.71
6,5,6,chocolate,No,Very,15.12
6,6,9,vanilla,No,Somewhat,8.43
10,7,9,vanilla,No,Somewhat,29.32
9,7,11,lemon,No,Somewhat,14.3
7,9,7,chocolate,Yes,Somewhat,15.31
10,8,8,lemon,No,Somewhat,54.23
9,6,12,lemon,No,Somewhat,15.23
5,6,5,lemon,No,No,7.88
12,10,8,vanilla,No,No,46.18
7,6,7,chocolate,No,Very,20.93
7,4,11,chocolate,No,Somewhat,8.4
7,11,8,strawberry,Yes,Somewhat,15.86
11,9,7,vanilla,No,No,54.68
7,5,5,chocolate,No,Somewhat,19.32
5,6,10,lemon,No,Very,4.25
5,5,8,chocolate,No,No,5.81
13,9,8,vanilla,No,Somewhat,85.18
8,10,10,vanilla,No,No,23.26
11,7,9,strawberry,No,Somewhat,32.77
7,7,4,vanilla,No,No,13.32
13,10,11,chocolate,No,Somewhat,70.94
7,4,10,vanilla,No,Somewhat,7.41
10,8,10,vanilla,No,No,21.74
14,10,8,lemon,No,Somewhat,93.84
7,10,10,chocolate,No,Somewhat,21.17
10,6,9,vanilla,No,Somewhat,36.78
10,7,10,chocolate,No,Somewhat,32.99
12,6,5,strawberry,No,No,48.14
7,5,4,strawberry,No,Somewhat,9.28
6,7,11,chocolate,No,Somewhat,7.62
11,9,5,vanilla,Yes,Somewhat,41.65
7,6,8,lemon,No,Somewhat,17.51
7,7,10,vanilla,No,Somewhat,10.5
13,13,12,chocolate,Yes,No,30.72
5,8,7,vanilla,No,Somewhat,9.14
5,12,8,marzipan,Yes,Somewhat,10.43
11,7,12,chocolate,No,Somewhat,24.08
10,6,8,vanilla,No,No,27.15
5,5,12,chocolate,No,Somewhat,2.77
11,9,5,coffee,No,Somewhat,100.99
13,7,10,vanilla,No,Somewhat,54.84
7,8,5,strawberry,No,No,15.92
7,6,12,vanilla,No,No,7.21
12,10,8,marzipan,No,No,64.74
7,8,10,vanilla,No,No,14.15
11,6,8,lemon,No,Somewhat,40.77
14,8,11,chocolate,No,Somewhat,47.19
11,9,6,chocolate,No,No,65.82
9,5,7,vanilla,No,No,14.26
12,7,10,chocolate,No,Somewhat,43.33
9,8,9,lemon,No,Somewhat,29.48
9,7,9,chocolate,No,Somewhat,24.78
8,6,7,vanilla,No,Somewhat,24.19
12,9,10,strawberry,Yes,Somewhat,33.22
9,7,9,chocolate,No,Somewhat,20.16
12,9,9,chocolate,No,Somewhat,69.96
14,8,8,vanilla,No,No,62.88
12,8,4,marzipan,No,Very,64.4
7,6,10,chocolate,No,Very,10.62
8,6,10,lemon,No,Somewhat,13.61
6,6,10,raspberry,No,Somewhat,7.86
12,5,11,chocolate,No,Very,17.14
12,7,6,chocolate,No,Somewhat,55.99
12,6,8,chocolate,No,Somewhat,34.76
7,4,8,chocolate,No,Somewhat,8.62
12,7,4,vanilla,No,Somewhat,62.15
12,5,4,strawberry,No,Somewhat,35.68
8,7,7,chocolate,No,Somewhat,30.49
11,9,10,lemon,Yes,Very,44.57
7,7,5,lemon,No,Somewhat,29.81
8,9,7,chocolate,No,No,18.47
4,7,8,lemon,No,Somewhat,5.42
4,5,7,marzipan,No,No,4.05
7,8,6,chocolate,No,Somewhat,35.64
7,5,7,chocolate,No,Somewhat,10.25
9,7,6,vanilla,No,Somewhat,34.5
7,5,10,chocolate,No,No,7.94
8,7,7,chocolate,No,Somewhat,23.54
12,7,11,lemon,No,Somewhat,32.44
12,14,9,vanilla,Yes,No,32.41
6,6,10,vanilla,No,No,4.13
11,7,9,vanilla,No,Somewhat,38.9
11,10,5,chocolate,Yes,Somewhat,46.2
7,5,6,vanilla,No,No,11.09
11,5,10,lemon,No,Somewhat,27.44
9,10,12,strawberry,No,No,12.69
10,6,8,strawberry,No,Very,26.09
13,10,9,lemon,No,Somewhat,99.14
8,6,7,strawberry,No,No,16.5
7,5,8,strawberry,No,Somewhat,14.0
14,10,10,chocolate,No,No,63.89
5,5,10,vanilla,No,Somewhat,4.54
11,6,11,chocolate,No,No,16.19
7,5,6,lemon,No,No,22.84
10,10,8,chocolate,Yes,Somewhat,33.26
7,7,7,chocolate,No,Somewhat,25.33
7,7,8,lemon,No,Somewhat,26.5
6,7,11,chocolate,No,No,7.71
9,9,7,vanilla,No,No,26.24
4,7,10,lemon,No,Somewhat,3.15
9,6,8,vanilla,No,Somewhat,18.28
7,9,10,marzipan,No,Somewhat,12.76
13,9,6,vanilla,No,Somewhat,132.88
10,12,5,vanilla,Yes,Somewhat,58.9
8,5,11,chocolate,No,No,10.92
7,8,4,vanilla,No,Somewhat,12.86
12,7,6,chocolate,No,No,45.18
12,10,9,strawberry,No,Somewhat,60.52
13,9,7,vanilla,No,Somewhat,110.02
12,8,8,vanilla,No,Somewhat,60.4
13,7,12,vanilla,No,Somewhat,28.42
12,9,9,strawberry,No,Somewhat,70.07
9,8,10,strawberry,No,No,26.59
10,8,8,vanilla,No,Very,30.11
10,8,6,marzipan,No,No,40.85
10,10,5,vanilla,No,Somewhat,53.62
8,9,6,chocolate,No,Very,37.75
6,8,9,lemon,No,Very,13.31
5,7,10,strawberry,No,Very,3.63
12,12,9,vanilla,Yes,No,14.67
8,7,10,vanilla,No,Somewhat,21.26
9,8,7,vanilla,No,Somewhat,28.25
13,7,8,chocolate,No,No,59.02
8,6,10,lemon,No,No,11.89
13,7,4,strawberry,No,Somewhat,60.57
11,7,9,strawberry,No,Somewhat,26.49
7,10,12,vanilla,No,Somewhat,12.99
12,8,8,lemon,No,Very,37.12
6,10,8,vanilla,Yes,No,9.37
13,8,5,lemon,No,Somewhat,66.63
6,7,7,lemon,No,Very,15.81
9,13,7,vanilla,Yes,Somewhat,50.1
8,6,7,marzipan,No,Somewhat,15.8
9,9,8,strawberry,No,No,21.23
8,7,7,lemon,No,No,35.54
7,8,8,chocolate,No,No,17.42
5,5,11,vanilla,No,Somewhat,3.22
7,4,7,chocolate,No,Very,7.82
13,6,8,chocolate,No,Somewhat,48.72
6,4,7,vanilla,No,Very,6.68
10,6,10,chocolate,No,Somewhat,17.79
5,5,6,vanilla,No,Somewhat,5.58
11,8,9,chocolate,No,Somewhat,65.25
10,6,6,chocolate,No,No,39.6
11,8,8,vanilla,No,No,46.56
10,5,8,chocolate,No,Somewhat,35.06
5,7,6,chocolate,No,No,10.76
9,6,9,vanilla,No,No,14.85
11,5,7,strawberry,No,No,30.0
11,7,4,vanilla,No,No,30.17
7,6,10,chocolate,No,Somewhat,12.28
9,5,10,vanilla,No,Somewhat,14.54
8,14,10,lemon,Yes,No,7.66
11,13,7,vanilla,Yes,Somewhat,63.97
8,7,10,chocolate,No,Somewhat,16.48
7,7,8,vanilla,No,Somewhat,21.56
8,8,10,vanilla,No,Somewhat,20.01
7,8,8,strawberry,No,Somewhat,15.76
10,10,10,vanilla,No,Somewhat,38.09
8,7,6,vanilla,No,Somewhat,23.76
9,7,9,lemon,No,Somewhat,23.98
8,7,6,chocolate,No,Somewhat,31.64
14,10,9,chocolate,No,Somewhat,82.19
11,6,12,vanilla,No,No,18.4
12,9,7,chocolate,No,No,56.07
8,13,6,strawberry,Yes,Somewhat,44.66
9,12,9,chocolate,Yes,Somewhat,30.08
11,9,8,vanilla,No,No,57.92
9,7,7,vanilla,No,No,40.26
6,6,7,lemon,No,No,15.3
6,6,7,chocolate,No,Somewhat,8.71
10,6,7,chocolate,No,No,35.05
12,6,8,vanilla,No,No,28.0
7,9,8,chocolate,No,No,22.93
4,6,10,vanilla,No,Somewhat,2.98
10,8,8,vanilla,No,No,20.68
11,7,8,chocolate,No,Very,40.37
12,6,12,chocolate,No,Somewhat,27.55
12,9,7,vanilla,No,Very,46.87
7,10,10,vanilla,No,No,19.8
11,5,7,strawberry,No,Somewhat,35.48
9,8,8,vanilla,No,No,22.7
9,8,4,vanilla,No,No,31.15
14,9,9,strawberry,No,No,44.05
6,5,11,chocolate,No,Somewhat,7.27
10,8,9,vanilla,No,Very,17.94
6,7,8,vanilla,No,Somewhat,11.15
8,8,8,vanilla,No,Very,22.16
10,8,10,lemon,No,No,30.58
6,6,12,lemon,No,No,3.22
12,7,8,chocolate,No,Somewhat,58.35
11,9,8,chocolate,No,Somewhat,66.96
10,6,11,vanilla,No,Somewhat,16.12
9,7,10,chocolate,No,Somewhat,23.39
12,6,4,vanilla,No,No,48.44
6,5,5,chocolate,No,Somewhat,7.53
6,9,10,chocolate,No,Very,15.34
10,10,5,chocolate,No,Somewhat,49.55
10,7,9,vanilla,No,No,23.42
10,7,10,lemon,No,No,17.04
6,7,6,chocolate,No,No,10.4
8,7,9,chocolate,No,Somewhat,16.9
7,7,7,chocolate,No,No,21.12
6,13,4,vanilla,Yes,No,11.9
12,7,11,chocolate,No,No,42.42
8,4,8,chocolate,No,Somewhat,16.26
13,7,6,lemon,No,Somewhat,94.08
9,6,11,vanilla,No,Somewhat,11.62
9,9,5,vanilla,No,Somewhat,42.39
9,8,7,chocolate,No,Somewhat,34.4
10,9,6,chocolate,Yes,Somewhat,54.65
11,7,6,chocolate,No,Somewhat,64.22
6,4,9,chocolate,No,No,6.79
9,8,10,chocolate,No,Somewhat,36.92
13,7,10,vanilla,No,Somewhat,46.49
4,7,6,lemon,No,No,5.45
11,8,6,strawberry,No,No,74.54
5,5,10,chocolate,No,No,5.78
10,6,5,chocolate,No,No,21.53
